Timestamp,Emotion,BlinkRate,EyeRatio,MouthRatio,AvgTypingInterval,MaxPause,AvgMouseIdle
2025-08-23 17:51:21,neutral,8,0.279,0.002,0,0,0
2025-08-23 17:52:18,surprise,4,0.271,0.001,0.11,0,0
2025-08-23 17:52:29,neutral,26,0.243,0.001,0.11,0,18.89
2025-08-23 17:55:08,neutral,22,0.306,0.004,0.15,0,0
2025-08-23 17:55:18,neutral,22,0.352,0.002,0.14,0,0
2025-08-23 17:55:28,fear,6,0,0,0.14,0,28.71
2025-08-23 17:55:39,neutral,8,0.392,0.003,0.14,0,28.71
2025-08-23 17:55:49,happy,4,0.349,0.004,0.14,0,28.71
2025-08-23 17:55:59,happy,4,0.322,0.002,0.28,33.48,28.71
2025-08-23 17:56:09,neutral,9,0.261,0.006,0.22,33.48,28.71
2025-08-23 17:56:20,neutral,0,0.366,0.002,0.21,33.48,25.66
2025-08-23 18:41:44,neutral,17,0.261,0.001,0.2,0,0
2025-08-23 18:41:54,neutral,8,0.252,0.004,0.19,0,0
2025-08-23 18:42:05,neutral,6,0.292,0.003,0.19,0,32.35
2025-08-23 18:42:15,happy,1,0.244,0.001,0.24,14.32,32.35
2025-08-23 18:42:25,neutral,9,0.264,0.003,0.18,14.32,32.35
2025-08-23 18:42:35,neutral,167,0.244,0.0,0.15,14.32,32.35
2025-08-23 18:42:45,fear,11,0.256,0.279,0.14,14.32,34.8
2025-08-23 19:04:33,neutral,27,0.289,0.004,0.23,0,0
2025-08-23 19:04:43,neutral,0,0.248,0.004,0.15,0,0
2025-08-23 19:04:53,neutral,21,0.175,0.262,0.2,5.9,0
2025-08-23 19:05:03,neutral,45,0.179,0.429,0.19,5.9,0
2025-08-23 19:05:13,neutral,74,0.215,0.218,0.22,7.34,0
2025-08-23 19:05:24,happy,42,0.247,0.014,0.21,7.34,0
2025-08-23 19:05:34,angry,31,0,0,0.19,7.34,0
2025-08-23 19:05:44,neutral,9,0.233,0.016,0.2,7.34,0
2025-08-23 19:05:54,fear,35,0.252,0.002,0.2,7.34,0
